# Data from K. Lodders, H. Palme, H.-P. Gail
# http://arxiv.org/abs/0901.1149
# (Table 6)

# Z     N per 1e6 Si atoms
1       2.93e10
2       2.47e9
3       55.6
4       0.612
5       18.8
6       7.19e6
7       2.12e6
8       1.57e7
9       804
10      3.29e6
11      57700
12      1.03e6
13      84600
14      1.00e6  # Si
15      8300
16      4.21e5
17      5170
18      92700
19      3760
20      60400
21      34.4
22      2470
23      286
24      13100
25      9220
26      8.48e5  # Fe
27      2350
28      49000
