#punt	xcoord (cm)	ycoord (cm)	sim	data	corr	corr
1	15	-90	587	281.2916112	117.4	125.2916112
2	0	-90	587	313.1659409	117.4	157.1659409
3	-15	-90	385	264.2069882	77	108.2069882
4	15	-70	454	277.9605263	90.8	121.9605263
5	0	-70	436	266.7929592	87.2	110.7929592
6	-15	-70	454	262.7896128	90.8	106.7896128
7	15	-50	532	267.4050633	106.4	111.4050633
8	0	-50	221	217.4752284	44.2	61.47522841
9	-15	-50	492	258.2518337	98.4	102.2518337
10	15	-30	524	244.4846293	104.8	88.48462929
11	0	-30	313	201.4302741	62.6	45.43027414
12	-15	-30	524	248.182686	104.8	92.18268595
13	15	-10	385	238.7848817	77	82.78488167
14	0	-10	350	220.2815433	70	64.28154327
15	-15	-10	391	226.9217858	78.2	70.92178583
16	11.84671695	-26.84671695	304	219.9661591	60.8	63.96615905
17	18.15328305	-26.84671695	608	286.1981372	121.6	130.1981372
18	18.15328305	-33.15328305	606	279.0160145	121.2	123.0160145
19	11.84671695	-33.15328305	324	221.0161512	64.8	65.01615118
