-99 -24.			    0.284011 524
-99 -22				    0.283165 473
-99 -20				    0.281089 516
-99 -18				    0.276867 460
-99 -16				    0.276254 453
-99 -14				    0.277655 259
-99 -12				    0.26995  251
-99 -10				    0.274702 265
-99 -8				    0.27049  217
-99 -6				    0.272515 253
-99 -4				    0.272242 245
-99 -2				    0.276031 223
-99 0				    0.272404 242
-99 2				    0.274122 279
-99 4				    0.274773 237
-99 6				    0.27359  230
-99 8				    0.275973 244
-99 10				    0.271485 221
-99 12				    0.27448  251
-99 14				    0.27657  301
-99 16				    0.278138 421
-99 18				    0.282014 571
-99 20				    0.281238 514
-99 22				    0.279496 487
-99 24				    0.281944 570
-97 -24.			    0.271075 277
-97 -22				    0.272936 321
-97 -20				    0.275187 325
-97 -18				    0.275612 285
-97 -16				    0.275652 310
-97 -14				    0.274232 297
-97 -12				    0.276576 342
-97 -10				    0.273042 355
-97 -8				    0.276501 368
-97 -6				    0.275245 402
-97 -4				    0.271407 441
-97 -2				    0.274325 432
-97 0				    0.270071 442
-97 2				    0.273031 432
-97 4				    0.272085 422
-97 6				    0.27397  407
-97 8				    0.269826 354
-97 10				    0.274346 344
-97 12				    0.278745 301
-97 14				    0.274896 309
-97 16				    0.272644 325
-97 18				    0.273459 293
-97 20				    0.279294 303
-97 22				    0.274929 301
-97 24				    0.27459  336
-95 -24.			    0.272418 323
-95 -22				    0.273229 344
-95 -20				    0.27521  305
-95 -18				    0.276808 309
-95 -16				    0.2697   297
-95 -14				    0.274512 298
-95 -12				    0.270309 311
-95 -10				    0.275464 349
-95 -8				    0.275791 376
-95 -6				    0.271796 390
-95 -4				    0.271746 425
-95 -2				    0.276525 455
-95 0				    0.273706 430
-95 2				    0.2732   445
-95 4				    0.272487 494
-95 6				    0.278153 394
-95 8				    0.276551 374
-95 10				    0.272835 350
-95 12				    0.272912 313
-95 14				    0.272768 281
-95 16				    0.275139 290
-95 18				    0.272327 281
-95 20				    0.274104 305
-95 22				    0.273078 300
-95 24				    0.273078 332
-93 -24.			    0.273464 325
-93 -22				    0.272437 331
-93 -20				    0.273982 309
-93 -18				    0.276537 323
-93 -16				    0.275676 324
-93 -14				    0.272327 303
-93 -12				    0.27439  323
-93 -10				    0.274203 292
-93 -8				    0.269241 354
-93 -6				    0.271211 401
-93 -4				    0.276093 431
-93 -2				    0.279803 472
-93 0				    0.270142 433
-93 2				    0.276472 448
-93 4				    0.276593 458
-93 6				    0.275007 401
-93 8				    0.272845 357
-93 10				    0.273943 336
-93 12				    0.27498  302
-93 14				    0.269274 298
-93 16				    0.277858 329
-93 18				    0.273164 279
-93 20				    0.27071  295
-93 22				    0.274281 302
-93 24				    0.276526 335
-91 -24.			    0.271624 298
-91 -22				    0.273617 290
-91 -20				    0.273613 356
-91 -18				    0.270321 305
-91 -16				    0.275594 324
-91 -14				    0.27614  292
-91 -12				    0.270586 284
-91 -10				    0.279812 324
-91 -8				    0.276575 361
-91 -6				    0.275582 351
-91 -4				    0.272467 429
-91 -2				    0.275777 461
-91 0				    0.273581 473
-91 2				    0.274131 485
-91 4				    0.277175 412
-91 6				    0.274573 424
-91 8				    0.276349 339
-91 10				    0.274716 330
-91 12				    0.275876 312
-91 14				    0.275815 316
-91 16				    0.270954 291
-91 18				    0.273762 351
-91 20				    0.271432 317
-91 22				    0.276795 342
-91 24				    0.273147 294
-89 -24.			    0.273903 317
-89 -22				    0.268546 347
-89 -20				    0.273293 333
-89 -18				    0.274166 299
-89 -16				    0.272685 330
-89 -14				    0.275841 328
-89 -12				    0.27399  319
-89 -10				    0.274593 322
-89 -8				    0.276526 341
-89 -6				    0.271582 406
-89 -4				    0.271393 405
-89 -2				    0.274316 480
-89 0				    0.279119 455
-89 2				    0.271498 428
-89 4				    0.277418 432
-89 6				    0.277407 376
-89 8				    0.271116 347
-89 10				    0.273122 324
-89 12				    0.279181 334
-89 14				    0.277    328
-89 16				    0.277191 315
-89 18				    0.272702 321
-89 20				    0.27064  330
-89 22				    0.27498  317
-89 24				    0.273151 350
-87 -24.			    0.273688 317
-87 -22				    0.274421 330
-87 -20				    0.2752   355
-87 -18				    0.280238 319
-87 -16				    0.27482  320
-87 -14				    0.273044 336
-87 -12				    0.276553 315
-87 -10				    0.272442 347
-87 -8				    0.273647 333
-87 -6				    0.27424  395
-87 -4				    0.271971 429
-87 -2				    0.278443 448
-87 0				    0.272155 465
-87 2				    0.275136 490
-87 4				    0.274918 383
-87 6				    0.273174 377
-87 8				    0.273656 327
-87 10				    0.279709 345
-87 12				    0.275634 326
-87 14				    0.271296 304
-87 16				    0.27251  314
-87 18				    0.27704  330
-87 20				    0.277313 328
-87 22				    0.27819  318
-87 24				    0.271444 317
-85 -24.			    0.27229  316
-85 -22				    0.273965 325
-85 -20				    0.273797 332
-85 -18				    0.275892 308
-85 -16				    0.275061 310
-85 -14				    0.272065 322
-85 -12				    0.275796 336
-85 -10				    0.274463 304
-85 -8				    0.27768  295
-85 -6				    0.277969 350
-85 -4				    0.277844 416
-85 -2				    0.276601 453
-85 0				    0.275308 466
-85 2				    0.271798 462
-85 4				    0.272166 368
-85 6				    0.271334 362
-85 8				    0.275773 314
-85 10				    0.27513  331
-85 12				    0.27788  328
-85 14				    0.275752 335
-85 16				    0.273722 349
-85 18				    0.277727 332
-85 20				    0.277838 325
-85 22				    0.275503 320
-85 24				    0.27411  334
-83 -24.			    0.275071 330
-83 -22				    0.276725 328
-83 -20				    0.277157 320
-83 -18				    0.270379 318
-83 -16				    0.276794 352
-83 -14				    0.278014 333
-83 -12				    0.273514 303
-83 -10				    0.276577 353
